Wall time,Step,Value
1663518749.7810576,0,0.0
1663520707.5931582,20,0.0
1663523188.7835903,40,0.0
1663525770.4180024,60,0.0
1663528467.430888,80,0.0
1663531243.8286266,100,0.0
1663533946.0363612,120,0.0
1663536634.3588667,140,0.0
1663539430.0109599,160,0.0
1663542083.3887873,180,0.0
1663544660.6347628,200,9.0
1663547482.69413,220,32.0
1663550156.9998407,240,29.0
1663552752.4533687,260,13.0
1663555408.139654,280,17.0
1663558103.7718816,300,44.0
1663560900.618672,320,47.0
1663563489.8677201,340,61.0
1663566115.45533,360,83.0
